
Draw_Date	Winning_Numbers	Powerball	Power_Play	Estimated_Jackpot	Jackpot_Winners	Jackpot_Option
10/04/2023	63 - 9 - 35 - 64 - 54	1	2	$1.20 Billion	Roll	
10/02/2023	27 - 12 - 43 - 47 - 26	5	2	$1.04 Billion	Roll	
09/30/2023	30 - 19 - 46 - 37 - 44	22	2	$960 Million	Roll	
09/27/2023	47 - 63 - 1 - 46 - 7	7	3	$850 Million	Roll	
09/25/2023	50 - 10 - 36 - 22 - 12	4	2	$785 Million	Roll	
09/23/2023	1 - 12 - 66 - 20 - 33	21	2	$750 Million	Roll	
09/20/2023	27 - 62 - 16 - 59 - 63	23	3	$672 Million	Roll	
09/18/2023	42 - 26 - 2 - 21 - 40	9	3	$638 Million	Roll	
09/16/2023	46 - 19 - 24 - 8 - 11	5	2	$596 Million	Roll	
09/13/2023	37 - 22 - 45 - 44 - 30	18	3	$550 Million	Roll	
09/11/2023	53 - 27 - 25 - 66 - 9	5	2	$522 Million	Roll	
09/09/2023	29 - 19 - 11 - 63 - 68	25	2	$500 Million	Roll	
09/06/2023	20 - 23 - 9 - 14 - 63	1	3	$461 Million	Roll	
09/04/2023	51 - 1 - 32 - 46 - 26	13	3	$435 Million	Roll	
09/02/2023	38 - 67 - 25 - 66 - 42	19	4	$420 Million	Roll	
08/30/2023	35 - 69 - 61 - 13 - 4	4	2	$386 Million	Roll	
08/28/2023	55 - 6 - 25 - 68 - 4	26	2	$363 Million	Roll	
08/26/2023	26 - 20 - 63 - 22 - 28	5	3	$345 Million	Roll	
08/23/2023	33 - 30 - 32 - 25 - 55	20	2	$313 Million	Roll	
08/21/2023	3 - 4 - 28 - 12 - 22	16	2	$291 Million	Roll	
08/19/2023	27 - 38 - 1 - 62 - 25	13	2	$264 Million	Roll	
08/16/2023	55 - 9 - 11 - 19 - 17	1	2	$236 Million	Roll	
08/14/2023	37 - 34 - 47 - 39 - 32	3	2	$215 Million	Roll	
08/12/2023	19 - 50 - 65 - 21 - 37	26	2	$194 Million	Roll	
08/09/2023	15 - 67 - 10 - 21 - 69	3	2	$170 Million	Roll	
08/07/2023	13 - 6 - 20 - 54 - 35	22	2	$145 Million	Roll	
08/05/2023	62 - 44 - 65 - 18 - 42	23	2	$124 Million	Roll	
08/02/2023	64 - 33 - 24 - 23 - 51	5	2	$95 Million	Roll	
07/31/2023	58 - 2 - 65 - 11 - 48	13	2	$74 Million	Roll	
07/29/2023	27 - 10 - 34 - 25 - 38	2	3	$60 Million	Roll	
07/26/2023	3 - 40 - 16 - 60 - 48	14	2	$41 Million	Roll	
07/24/2023	49 - 3 - 12 - 28 - 4	25	2	$28 Million	Roll	
07/22/2023	63 - 37 - 25 - 27 - 36	7	2	$20 Million	Roll	
07/19/2023	7 - 13 - 10 - 24 - 11	24	2	$1.00 Billion	Out of State Winner	
07/17/2023	17 - 8 - 9 - 41 - 5	21	4	$900 Million	Roll	
07/15/2023	57 - 43 - 2 - 55 - 9	18	2	$875 Million	Roll	
07/12/2023	66 - 45 - 23 - 35 - 67	20	3	$750 Million	Roll	
07/10/2023	34 - 58 - 24 - 2 - 53	13	2	$675 Million	Roll	
07/08/2023	24 - 7 - 32 - 23 - 43	18	2	$615 Million	Roll	
07/05/2023	68 - 17 - 24 - 62 - 48	23	2	$546 Million	Roll	
07/03/2023	31 - 38 - 15 - 61 - 26	3	3	$522 Million	Roll	
07/01/2023	4 - 49 - 61 - 17 - 35	8	2	$493 Million	Roll	
06/28/2023	34 - 19 - 68 - 25 - 57	4	5	$462 Million	Roll	
06/26/2023	6 - 54 - 43 - 28 - 39	12	4	$440 Million	Roll	
06/24/2023	38 - 44 - 50 - 2 - 62	19	3	$427 Million	Roll	
06/21/2023	5 - 33 - 35 - 11 - 63	14	2	$400 Million	Roll	
06/19/2023	69 - 57 - 52 - 39 - 36	1	3	$380 Million	Roll	
06/17/2023	12 - 61 - 2 - 64 - 45	26	2	$366 Million	Roll	
06/14/2023	20 - 3 - 42 - 36 - 64	4	2	$340 Million	Roll	
06/12/2023	68 - 2 - 23 - 3 - 16	7	2	$324 Million	Roll	
06/10/2023	42 - 46 - 50 - 21 - 32	4	3	$308 Million	Roll	
06/07/2023	16 - 53 - 29 - 66 - 21	2	5	$285 Million	Roll	
06/05/2023	46 - 2 - 45 - 31 - 49	20	2	$269 Million	Roll	
